Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Super Heros,1997,N/A,01 Jan 1997,N/A,Comedy,A.V.S. Subramanyam,N/A,"Brahmanandam, Prasanna Kumar, B.V. Ramanandham",N/A,Telugu,India,N/A,N/A,[],N/A,N/A,N/A,tt1579884,movie,N/A,N/A,N/A,N/A,True
Super Mario,2011,N/A,16 Dec 2011,N/A,"Documentary, Short",Tom Earls,Tom Earls,"Dave Cartass, Leila Catty, Dan Cooties, Mario Di Fiore",N/A,English,Australia,N/A,N/A,[],N/A,N/A,N/A,tt2157708,movie,N/A,N/A,N/A,N/A,True
Super Mother II,2017,N/A,05 Oct 2017,N/A,Comedy,Arman Marutyan,"Robert Martirosyan, Arman Marutyan","Andranik Harutyunyan, Levon Harutyunyan, Eva Khachatryan, Ani Khachikyan","Karen and Sona continue their life together, however Karen does not pay an attention to his family. Sona's company's accountant steals a lot of money and manages to hide them. Karen becomes...",Armenian,Armenia,N/A,https://m.media-amazon.com/images/M/MV5BZDczZWZjMDEtODJjOS00MGZmLWE5ZjItZjhkNzgxMzhjZjc3XkEyXkFqcGdeQXVyNTgxMzY3MjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,13,tt7643334,movie,N/A,N/A,N/A,N/A,True
Super,2005,N/A,22 Jul 2005,151 min,"Action, Comedy",Puri Jagannadh,"Puri Jagannadh (screenplay), Puri Jagannadh (story)","Nagarjuna Akkineni, Sonu Sood, Ayesha Takia, Anushka Shetty","Sonu, his sister, Sasha, and their friend, Akhil, live a poor lifestyle in India. While Sasha has given her heart to Akhil, he treats her as a close friend and confidant. Times get so tough...","Telugu, Hindi",India,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNWZiODg5ZjItMTQ4MS00NmU1LTkzNjYtZDMyMGZiN2MxYmE5XkEyXkFqcGdeQXVyMzUwMTgxODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,5.1,585,tt0475735,movie,N/A,N/A,N/A,N/A,True
Super Confession,2008,N/A,29 May 2008,N/A,"Short, Drama",Soorho Z. Idiev,N/A,"Joseph Jafla, Romas Stanulis",N/A,English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt1381885,movie,N/A,N/A,N/A,N/A,True
Super Speedway,1997,Not Rated,19 Mar 1997,50 min,"Documentary, Action, Sport",Stephen Low,Alexander Low (story writer),"Paul Newman, Richard Garneau, Jim Paulson, Jeff Andretti","Follow the Newman-Haas (Andretti) racing team through the process of building, testing, and racing for a season.",English,"Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BMTkxNDIwOTg3NF5BMl5BanBnXkFtZTcwMDQ2MTAyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,7.1,445,tt0120245,movie,N/A,N/A,N/A,N/A,True
27th National Super Quiz Bee,2006,N/A,08 Oct 2006,N/A,Game-Show,N/A,N/A,"John Lester Abundo, Rey Benedicto, J.C. Cuadrado, Ma. Liezlnette Go",N/A,"English, Filipino, Tagalog",Philippines,N/A,N/A,[],N/A,N/A,N/A,tt0883997,movie,N/A,N/A,N/A,N/A,True
Super Singh,2017,N/A,16 Jun 2017,155 min,"Action, Comedy, Fantasy",Anurag Singh,"Anurag Singh (story), Dheeraj Rattan (screenplay), Anurag Singh (screenplay), Jagdeep Singh (dialogue), Rupinder Inderjit (dialogue), Anurag Singh (dialogue)","Diljit Dosanjh, Sonam Bajwa, Pawan Malhotra, Alexandra Bandean","A man's life changes after he unknowingly gets super powers and then embarks on a journey that helps him discover the true meaning of love, life, courage, sacrifice, and his role in the world.",Punjabi,India,N/A,https://m.media-amazon.com/images/M/MV5BM2EwMjEyYjgtYmU4OC00NmM4LWEyYzktODUxZTFlOWRjNDQ1XkEyXkFqcGdeQXVyNDY2ODEyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,606,tt5891348,movie,N/A,N/A,Brat Films,N/A,True
My Super Psycho Sweet 16: Part 3,2012,N/A,13 Mar 2012,83 min,"Comedy, Drama, Horror, Mystery, Thriller",Jacob Gentry,"Jed Elinoff, Scott Thomas","Lauren McKnight, Kirsten Zien, Ryan Sypek, Jillian Rose Reed","Skye Rotter is finally ready to put her bloody past behind her. Just when she's heading off to college, though, she receives an unexpected call from her estranged sister, Alex. There's one ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg1MDU1MDU4MV5BMl5BanBnXkFtZTcwNDcyODY0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,508,tt2056659,movie,N/A,N/A,N/A,N/A,True
Super U Winners Showcase,2009,N/A,24 Feb 2009,29 min,N/A,N/A,N/A,N/A,N/A,English,Canada,N/A,N/A,[],N/A,N/A,N/A,tt1384789,movie,N/A,N/A,N/A,N/A,True
Super astro,2004,N/A,11 Mar 2004,10 min,Short,Marco Rubio,Marco Rubio,"Guadalupe Sezatti, Juan Sezatti",N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0478391,movie,N/A,N/A,N/A,N/A,True
Super,1997,N/A,N/A,12 min,Short,Steven Buyse,Steven Buyse (scenario),"Stefan Perceval, Tine Reymer, Jorre Van den Bussche, Dirk Van Eyken",N/A,Dutch,Belgium,N/A,N/A,[],N/A,N/A,N/A,tt0434373,movie,N/A,N/A,N/A,N/A,True
My Super Sea Wall,2009,N/A,15 Feb 2009,12 min,Short,Gina Abatemarco,Gina Abatemarco,N/A,N/A,N/A,Germany,1 win.,N/A,[],N/A,N/A,N/A,tt1373182,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXIX Half Time Show: Indiana Jones and the Temple of the Forbidden Eye,1995,N/A,29 Jan 1995,N/A,Adventure,N/A,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2141949,movie,N/A,N/A,N/A,N/A,True
VH1 Pepsi Smash Super Bowl Bash,2009,N/A,N/A,N/A,Music,Michael Dempsey,N/A,"Matt Cassell, Fall Out Boy, Brandon Jacobs, Lifehouse",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1375768,movie,N/A,N/A,N/A,N/A,True
Super Dynamic Winery: A Hero's Journey Through the Vineyard,2010,N/A,N/A,9 min,"Documentary, Short, Comedy","Wes Sutton, Robert Reed","Robert Reed, Wes Sutton","Michael Bendall, Erin Elizabeth Gardner, Mike Henderson, Niki Le",A mockumentary about a group of caped crusaders and their backup plan for the future. Why not run a winery? Everybody loves wine.,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1664887,movie,N/A,N/A,N/A,N/A,True
French Comics: Les super-héros dans l'hexagone,2011,N/A,21 Oct 2011,N/A,Documentary,"Jac, Johan","Jac, Johan","Briclot Aleksy, Dugenest Anthony, Allin Aurélien, Tota Ciro",N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt2124169,movie,N/A,N/A,N/A,N/A,True
Super Tuesday Live in Paris!,2008,N/A,04 Nov 2008,32 min,"Documentary, Short",N/A,N/A,"Nancy Caldwell, Walter C. Dickenson, Barbara Hano, Alyson Heimer","2008 Democratic Presidential Primary, candidates: Hillary Clinton and Barack Obama. Americans living overseas in Paris, France, come to vote at the American Church in Paris, and are interviewed.",English,France,N/A,N/A,[],N/A,N/A,N/A,tt1580400,movie,N/A,N/A,N/A,N/A,True
"Le super-8 n'est pas mort, il bande encore",1996,N/A,01 Jun 1996,24 min,"Documentary, Short",Rémi Lange,"Rémi Lange, Antoine Parlebas","Rémi Lange, Antoine Parlebas",N/A,French,France,N/A,N/A,[],N/A,N/A,N/A,tt0765244,movie,N/A,N/A,N/A,N/A,True
Marvel Super Heroes 4D Experience,2012,N/A,26 Apr 2012,8 min,"Animation, Short, Action, Adventure, Sci-Fi","Howard E. Baker, Joshua Wexler",N/A,"Brian Bloom, Paul Dobson, Tom Kenny, Eric Loomis","Tony Stark is holding a presentation for the press about his new satellite when Doctor Doom breaks in to take over the facility. Spiderman jumps in to help Stark, but that's when Loki shows up. Only the Avengers can save the day now.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOThiYTZiNWYtMTRkMC00Nzg0LTk0ZWUtMmE1ODQ1MzcwYjZiXkEyXkFqcGdeQXVyMDQzODc1OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,14,tt2229552,movie,N/A,N/A,N/A,N/A,True
Super Mario,2012,N/A,N/A,14 min,"Documentary, Short",Filip Topolovec,N/A,N/A,N/A,Serbo-Croatian,"Serbia, Croatia",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,13,tt3335338,movie,N/A,N/A,N/A,N/A,True
Super Savvy,2010,N/A,N/A,9 min,"Short, Comedy, Drama","Justin Marshall Elias, George Parker Mann","Justin Marshall Elias, George Parker Mann","Sarah Beagle, Keith Conway, J.R. Cox, Jeremeiah A. Skinner","A family feud plays out as a super hero battle rages right outside their door. Tension runs high as the battle grows nearer and nearer until the battle makes its way inside their home, only...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1667490,movie,N/A,N/A,N/A,N/A,True
Super Love,2003,N/A,N/A,N/A,Romance,Andy Amenechi,N/A,"Pete Edochie, Camilla Mberekpe, Chinelo Ndigwe, Genevieve Nnaji",N/A,English,Nigeria,N/A,N/A,[],N/A,N/A,N/A,tt0765243,movie,N/A,N/A,N/A,N/A,True
"Star Jjangga II: Super Betaman, Majingga V",1990,N/A,15 Aug 1990,65 min,"Adventure, Family, Sci-Fi",Yeong-han Kim,Yeong-han Kim,"Hyeon-gon Kim, Hie-ju Lee, Yu-seong Jeon","The witch Rinke rules over the plant Astro with an iron fist. She decides that she needs the super-powered robot, Zangga, to spread her rule to other planets. She learns that Zangga is ...",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BM2JlNWQxMGQtNGIzYy00M2Y2LThjNWItM2Q0OWQyYTFmODRiXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0417177,movie,N/A,N/A,N/A,N/A,True
The Super Rope Solution,2011,N/A,10 Jun 2011,5 min,"Animation, Short, Comedy",Auk de Vries,Auk de Vries,Arin Hanson,How would it be to control everything by pulling ropes? Well Auk de Vries made a funny animation about it.,English,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BNWU4ZWM2NjktYzQxYi00Zjg5LWIwNjktMzcyOTMxNWFmZWI2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,13,tt6279486,movie,N/A,N/A,N/A,N/A,True
Super Bowl XV Pre-Game Show,1981,N/A,25 Jan 1981,120 min,Sport,Bob Levy,N/A,"Mike Adamle, Bryant Gumbel",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0480468,movie,N/A,N/A,N/A,N/A,True
Super-maire.,1979,N/A,01 Aug 1979,16 min,"Short, Comedy",Jean-Claude Lauzon,Jean-Claude Lauzon,"Martine Allard, Michel Dazé, Jacques Langlois",N/A,French,Canada,N/A,N/A,[],N/A,N/A,N/A,tt12440392,movie,N/A,N/A,N/A,N/A,True
Super mojado,1991,N/A,N/A,90 min,Comedy,Rami Rodríguez,Héctor Kiev,"Art Bonilla, Roberto de los Santos, Héctor Kiev, Raúl Padilla",N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt0423292,movie,N/A,N/A,N/A,N/A,True
Super Frankie Lampard Immortal Blue Legend,2017,N/A,01 Feb 2017,49 min,Documentary,N/A,N/A,Frank Lampard,N/A,English,UK,N/A,N/A,[],N/A,N/A,N/A,tt12619400,movie,N/A,N/A,N/A,N/A,True
Super Turbo Atomic Ninja Rabbit,2015,N/A,24 Jun 2015,2 min,"Animation, Short",Wesley Louis,N/A,N/A,The memory cheats - do you recall watching Super Turbo Atomic Ninja Rabbit during the 1980s/1990s? This hoax title sequence plays on childhood recollections.,English,UK,1 nomination.,https://m.media-amazon.com/images/M/MV5BNjU2NDUwMGYtYzk2NS00YTQ4LWEwMmEtOGNiMzZmYTg0ZTMyXkEyXkFqcGdeQXVyNjI0NzM3Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,13,tt4813146,movie,N/A,N/A,N/A,N/A,True
Super 8 Tsunami,2007,N/A,01 Nov 2007,26 min,"Animation, Short, Drama",Sarah Lightbody,N/A,N/A,A fictive portrait of a mythical island and the impact of a massive tsunami upon its inhabitants. A family of gifted puppet makers are forced to perform for the opening night of the ruling ...,N/A,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMjA1MjUzNzg3MF5BMl5BanBnXkFtZTcwODYzMDE0NA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt1639898,movie,N/A,N/A,N/A,N/A,True
Nobody's shot et les super faucons,2007,N/A,N/A,11 min,"Short, Drama",Guillaume Roussel-Garneau,Guillaume Roussel-Garneau,"Alex Brisebois, Alexis Vaillancourt, François Veilleux, Pamela Vitale","In 1990, when the Gulf War breaks out, two young adults Jason and Cindy run off to Montreal. Jason wants Canada to participate so he could enlist and Cindy kiss another boy.",French,Canada,N/A,N/A,[],N/A,N/A,N/A,tt2137156,movie,N/A,N/A,N/A,N/A,True
Super Hell 3: Dreams of Horror,2014,N/A,24 Mar 2014,N/A,"Action, Comedy, Horror",Johny Walker,Johny Walker,"Maximillian Bilan, Chris Braineater, Conrad Brooks, Sébastien Godin","Everything comes to an end as Brooks becomes the new Satan, Granny Bob attempts to lead a revolution and Jodie Jupiter meets his fate. One last journey through a world of punks, zombies, ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2070830,movie,N/A,N/A,N/A,N/A,True
"Maneco, o Super Tio",1978,N/A,N/A,88 min,Family,Flávio Migliaccio,Flávio Migliaccio,"Abrahão Abdalla, Alex, Rodolfo Arena, Cleide Blota",Maneco takes his nephews to spend his holidays at his grandfather's place. But the old scientist discovered a way to travel in time and got lost in the year 1926. Maneco and the boys will try to bring him back.,Portuguese,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BMzU0M2M1ODAtZTk4NC00ZjUzLTg5MjMtNWU4YWJiOTJkM2M3XkEyXkFqcGdeQXVyMTUxNTMyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,13,tt0159556,movie,N/A,N/A,N/A,N/A,True
Super Robot Dumbass,2011,N/A,20 Dec 2011,N/A,"Short, Comedy",Sam Macaroni,Sam Macaroni,"Patrick Barrett, Davin Dell'Osa, Sam Macaroni, Carly Reeves",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2149149,movie,N/A,N/A,N/A,N/A,True
The Super Singer,1973,N/A,29 Apr 1973,N/A,N/A,Leonardo L. Garcia,Nestor Torre,"Victor Wood, Rhodora Silva",N/A,"Filipino, Tagalog",Philippines,N/A,N/A,[],N/A,N/A,N/A,tt2069095,movie,N/A,N/A,N/A,N/A,True
WWE Super Show-Down,2020,N/A,27 Feb 2020,N/A,Action,Kevin Dunn,N/A,"John Hennigan, Kofi Kingston, Brock Lesnar, Mike 'The Miz' Mizanin",N/A,English,Saudi Arabia,N/A,N/A,[],N/A,N/A,N/A,tt11747700,movie,N/A,N/A,N/A,N/A,True
"Open the Debates: Super Rally in Denver, CO 2008",2008,N/A,16 Sep 2008,107 min,News,Dutch Merrick,N/A,"Jello Biafra, Jerret Maupin, Nellie McKay, Tom Morello",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2130155,movie,N/A,N/A,N/A,N/A,True
Epic Super Hero Kiss,2011,N/A,11 Sep 2011,N/A,"Short, Comedy",Sam Macaroni,Sam Macaroni,"Shay Carl, Sam Macaroni",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt2130028,movie,N/A,N/A,N/A,N/A,True
Il vostro super agente Flit,1966,N/A,10 Sep 1966,88 min,N/A,Mariano Laurenti,"Bruno Corbucci (screenplay), Franco Sinischalchi (story)","Raimondo Vianello, Raffaella Carrà, Pamela Tudor, Alfredo Marchetti",N/A,Italian,Italy,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,13,tt0216391,movie,N/A,N/A,N/A,N/A,True
Super Chicks,2005,N/A,15 Sep 2005,8 min,"Short, Comedy",Lee Abbott,Joe Hamilton,"Lee Abbott, Amy Arce, Alissa Moreno, Nicole Stanton",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0490222,movie,N/A,N/A,N/A,N/A,True
Super Robot Bodyguard,2011,N/A,20 May 2011,N/A,"Short, Comedy",Sam Macaroni,Sam Macaroni,Sam Macaroni,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2130212,movie,N/A,N/A,N/A,N/A,True
Super Bowl I: The Lost Game,2016,N/A,15 Jan 2016,N/A,Sport,N/A,N/A,"Bill Creasy, Terrell Davis, Willie Davis, Antonio Freeman",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,5,tt5333114,movie,N/A,N/A,N/A,N/A,True
Super Spook,1975,R,09 Jul 1975,103 min,"Comedy, Crime",Anthony B. Major,"Ed Dessisso (screenplay), Leonard Jackson (screenplay), Bill Jay (screenplay), Tony King (screenplay), Anthony B. Major (idea), Anthony B. Major (screenplay)","Leonard Jackson, Bill Jay, Tony King, Bob Reed",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTBlOGRhNDItYjEyNS00N2E1LWE1MmQtNWUyYWFjNmIwZGZmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk5Mjg2Mjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,13,tt0247744,movie,N/A,N/A,N/A,N/A,True
Super Hero Central,2004,NOT RATED,04 Aug 2004,92 min,Action,Scott Shaw,Scott Shaw,"Scott Shaw, Hae Won Shin, Linnea Quigley, Conrad Brooks",Super Hero Central: The Extended remix unleashes the Superhero Crime Fighting team of Ace X and Kid Velvet who disguise their identities as members of a Hollywood Rock n' Roll band. This film has scenes presented in no other version.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODQ0NDYwNjMyOF5BMl5BanBnXkFtZTcwMjY2MDcyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,13,tt0429139,movie,N/A,N/A,N/A,N/A,True
Scary Monsters (and Super Creeps),2002,N/A,N/A,15 min,"Documentary, Short",Nick Peterson,"Nicolas Gaud, Nick Peterson",Laurent Mercier,N/A,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMTI5NzMwMjQ5M15BMl5BanBnXkFtZTcwNzkyNjgyMQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0441686,movie,N/A,N/A,N/A,N/A,True
Super Duper,2000,PG-13,N/A,6 min,"Comedy, Musical, Short, Horror",Kurt Koehler,Kurt Koehler,"Amber J. Lawson, Kurt Koehler, Worthie Meacham, Peter Mohawk","Join Stonie, Stevie and Sasha on a groovy, techno-color ride into a world of bliss. How long can they wear those rose tinted glasses? Until hunger strikes!",N/A,N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,13,tt0281243,movie,N/A,N/A,N/A,N/A,True
Super Smiley Flash Mob: A Dogumentary,2012,N/A,06 May 2012,6 min,Short,Megan Blake,Megan Blake,"Megan Blake, Smiley, Kim Swartz",Smiley the dog tells us about his mission to energize pet adoption and takes us on a Super Smiley Flash Mob at the LA City Shelter where we hear from people why it is good to adopt a pet.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU3MzUwODQzNV5BMl5BanBnXkFtZTcwMTg1NzI4Nw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt2150710,movie,N/A,N/A,N/A,N/A,True
My Local Gym (Super Short),2010,N/A,N/A,2 min,"Documentary, Short, Sport",Chad Moulder,N/A,"Anthony Collins, Raphael Dias, Fabio Mello",The pleasantness of a training day at my local gym.,N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt1667461,movie,N/A,N/A,N/A,N/A,True
Super Bowl Saturday Night Special,2005,N/A,06 Feb 2005,60 min,Musical,Marie NeJame,N/A,"3 Doors Down, Charlie Daniels, Lynyrd Skynyrd, Jo Dee Messina",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0492493,movie,N/A,N/A,N/A,N/A,True
Sailor Moon Super S: Ami's First Love,1995,N/A,N/A,16 min,"Animation, Short, Adventure, Fantasy",Takuya Igarashi,"Naoko Takeuchi (creator), Ryôta Yamaguchi (screenplay)","Aya Hisakawa, Kotono Mitsuishi, Michie Tomizawa, Emi Shinohara","A short movie based on the ""Sailor Moon"" TV series and movies about Ami rivaling with a boy she hasn't met nicknamed ""Mercurius"" who consistently ties with her for perfect scores on exams. ...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZjU2NzYwZWMtYmY4MS00OTc4LTg0OTgtMzlkMDc0ZjM3NDUzXkEyXkFqcGdeQXVyNjgwNTk4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,498,tt0112349,movie,N/A,N/A,N/A,N/A,True
Super Clyde,2015,N/A,N/A,N/A,Comedy,Rebecca Asher,Gregory Thomas Garcia,"Diane Guerrero, Charlie McDermott, Erik Griffin, Annaleigh Ashford","A meek, unassuming fast-food worker finds his calling.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,5,tt4452824,movie,N/A,N/A,N/A,N/A,True
Super Bowl XLI 360,2007,N/A,22 Feb 2007,60 min,"Documentary, Sport",N/A,N/A,"Marv Albert, Tony Corrente, Thomas Q. Jones, Gary Natoli",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1089025,movie,N/A,N/A,N/A,N/A,True
Jesus Picks the Super Bowl,2012,N/A,01 Feb 2012,N/A,"Short, Comedy",N/A,N/A,D.C. Pierson,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2215175,movie,N/A,N/A,N/A,N/A,True
Super Spies,2011,N/A,19 Aug 2011,13 min,"Short, Action","Jimmy Parello, Mike Wijas",Mike Wijas,"Anthony Parello, Jimmy Parello, Mike Wijas, James Willman",A CIA Agent Chris is on a mission to receive info on a group of terrorists. Right from the start the terrorists are on to Chris so they take his money and capture him. Will Chris find what ...,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2188899,movie,N/A,N/A,N/A,N/A,True
Super Madman,2020,N/A,29 Jan 2020,90 min,Comedy,Gao Zeyang,Yan Shisheng,"Tingdong Yang, Xingcheng Jiang",N/A,Mandarin,China,N/A,N/A,[],N/A,N/A,N/A,tt12181824,movie,N/A,N/A,N/A,N/A,True
Orange You Super?,2011,N/A,25 Jun 2011,7 min,"Short, Comedy",Cody Kauhl,"Brent Gorsage, Cody Kauhl, Erik A. Williams (story)","Kim Marie, Erik A. Williams, Bill Chott, Jessica Cameron",A sleep walking man becomes an unlikely hero.,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1985168,movie,N/A,N/A,N/A,N/A,True
UEFA Super Cup 2020,2020,N/A,24 Sep 2020,90 min,Sport,N/A,N/A,"David Alaba, Jerome Boateng, Yassine Bounou, Kingsley Coman","The 2020 UEFA Super Cup will be the 45th edition of the UEFA Super Cup, an annual football match organised by UEFA and contested by the reigning champions of the two main European club ...","English, French","UK, Switzerland, Hungary",N/A,https://m.media-amazon.com/images/M/MV5BYjgyNmQ3OGMtMDJlOC00MmU4LTk5ZDctZGI5ZGU1MzZkNGJjXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12739982,movie,N/A,N/A,N/A,N/A,True
Pam Grier Super Foxy,2006,N/A,N/A,17 min,"Documentary, Short",N/A,N/A,"Foxy Brown, Common, DJ Quik, Vivica A. Fox","Artists describe the influence Pam Grier and her films have left in their music, art, and discuss her impact on culture in general.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12475786,movie,N/A,N/A,N/A,N/A,True
Super Bowl's Greatest Commercials 2012,2012,N/A,01 Feb 2012,N/A,Talk-Show,Paul Miller,David Wild,"Jillian Michaels, Boomer Esiason, Mike Byrne, Pat Caldwell",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt2217951,movie,N/A,N/A,N/A,N/A,True
How I Became a Super Hero,2020,N/A,14 Oct 2020,97 min,"Action, Comedy",Douglas Attal,"Cédric Anger, Douglas Attal, Gérald Bronner (novel), Gérald Bronner, Melisa Godet, Charlotte Sanson","Pio Marmaï, Leïla Bekhti, Vimala Pons, Farid Afifi",N/A,French,"France, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BY2MwODIyZjYtMDYzMy00MjBhLWFmODItYTQ3YzE4NzhkODI2XkEyXkFqcGdeQXVyMzA4MDA0Mjc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10345590,movie,N/A,N/A,N/A,N/A,True
Super Duper Bloopers and Silly Shorts,1986,Not Rated,N/A,60 min,"Animation, Comedy, News, Sport, Talk-Show",N/A,N/A,"Alan Alda, Steve Allen, Milton Berle, Humphrey Bogart",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjBhOTRkNGMtNTZkNi00OTg5LThhN2YtZTI4YzI4MDRlMTIyXkEyXkFqcGdeQXVyMTY1MTcxMzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12638872,movie,N/A,N/A,N/A,N/A,True
Super Week,1984,N/A,N/A,30 min,"Animation, Action, Adventure",N/A,N/A,N/A,"This was a five-day TV cartoon mini-series tryout that aired on a single Monday through Friday with the segments of Robotix, and Bigfoot & the Muscle Machines. Before these two cartoons appeared on Super Saturday, and Sunday in 1985.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2212722,movie,N/A,N/A,N/A,N/A,True
VH1's Pepsi Super Bowl Fan Jam,2012,N/A,02 Feb 2012,N/A,Music,Michael Dempsey,"Peter Meadows, Steven Murphy","Carrie Keagan, Adam Levine, B.o.B., Gym Class Heroes",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2187171,movie,N/A,N/A,N/A,N/A,True
Super Variety Show: After Dark,2011,N/A,N/A,8 min,"Animation, Short, Comedy",N/A,N/A,N/A,"A fast-paced, fantastic ride through the absurdly erotic.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1991190,movie,N/A,N/A,N/A,N/A,True
Super Grandma,1996,N/A,15 Jun 1996,N/A,"Short, Adventure",Norm Novitsky,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2207454,movie,N/A,N/A,N/A,N/A,True
Super Rider Against the Devils,1976,N/A,17 Jul 1976,76 min,Fantasy,Chung-Kuang Lin,Chuan Li,"Feng Chang, Ching Feng Chiang, Han Chiang, Chung-Lien Chou",N/A,Mandarin,Taiwan,N/A,N/A,[],N/A,N/A,N/A,tt12206548,movie,N/A,N/A,N/A,N/A,True
